pollster,start_date,end_date,candidate_name,pct,sample_size,state,methodology,party,election_date
Suffolk,2024-10-14,2024-10-18,Cornel West,1,1000,National,Live Phone,IND,2024-11-05
Suffolk,2024-10-14,2024-10-18,Chase Oliver,0.8,1000,National,Live Phone,LIB,2024-11-05
Suffolk,2024-10-14,2024-10-18,Kamala Harris,49.7,1000,National,Live Phone,DEM,2024-11-05
Suffolk,2024-10-14,2024-10-18,Donald Trump,48.7,1000,National,Live Phone,REP,2024-11-05
Bullfinch,2024-10-11,2024-10-18,Kamala Harris,50,600,Wisconsin,Online Panel,DEM,2024-11-05
Bullfinch,2024-10-11,2024-10-18,Donald Trump,47,600,Wisconsin,Online Panel,REP,2024-11-05
Bullfinch,2024-10-11,2024-10-18,Kamala Harris,48,600,Wisconsin,Online Panel,DEM,2024-11-05
Bullfinch,2024-10-11,2024-10-18,Donald Trump,46,600,Wisconsin,Online Panel,REP,2024-11-05
Research & Polling,2024-10-10,2024-10-18,Kamala Harris,50,1024,New Mexico,Live Phone,DEM,2024-11-05
Research & Polling,2024-10-10,2024-10-18,Donald Trump,41,1024,New Mexico,Live Phone,REP,2024-11-05
Research & Polling,2024-10-10,2024-10-18,Robert F. Kennedy,3,1024,New Mexico,Live Phone,IND,2024-11-05
U. North Florida,2024-10-07,2024-10-18,Kamala Harris,43,977,Florida,Live Phone,DEM,2024-11-05
U. North Florida,2024-10-07,2024-10-18,Donald Trump,53,977,Florida,Live Phone,REP,2024-11-05
PPP,2024-10-16,2024-10-17,Kamala Harris,55,571,Washington,IVR/Text,DEM,2024-11-05
PPP,2024-10-16,2024-10-17,Donald Trump,40,571,Washington,IVR/Text,REP,2024-11-05
PPP,2024-10-16,2024-10-17,Kamala Harris,53,716,Oregon,IVR/Text,DEM,2024-11-05
PPP,2024-10-16,2024-10-17,Donald Trump,41,716,Oregon,IVR/Text,REP,2024-11-05
TIPP,2024-10-15,2024-10-17,Kamala Harris,49,1257,National,Online Panel,DEM,2024-11-05
TIPP,2024-10-15,2024-10-17,Donald Trump,47,1257,National,Online Panel,REP,2024-11-05
Quantus Insights,2024-10-15,2024-10-17,Kamala Harris,49.4,1045,National,Online Panel,DEM,2024-11-05
Quantus Insights,2024-10-15,2024-10-17,Donald Trump,48.6,1045,National,Online Panel,REP,2024-11-05
RMG Research,2024-10-14,2024-10-17,Kamala Harris,47,788,Florida,Online Panel,DEM,2024-11-05
RMG Research,2024-10-14,2024-10-17,Donald Trump,52,788,Florida,Online Panel,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,47.6,4180,National,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,50.7,4180,National,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,0.8,4180,National,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,0.1,4180,National,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Cornel West,0.1,4180,National,Online Ad,IND,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,48.1,4180,National,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,50.8,4180,National,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,48.6,1440,Arizona,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,49.2,1440,Arizona,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,0.7,1440,Arizona,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,0.1,1440,Arizona,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,49.3,1440,Arizona,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,49.2,1440,Arizona,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,48.1,1411,Georgia,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,49.5,1411,Georgia,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,1.3,1411,Georgia,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Cornel West,0.2,1411,Georgia,Online Ad,IND,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,0.2,1411,Georgia,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,48.4,1411,Georgia,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,50.1,1411,Georgia,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,46.8,1529,Michigan,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,49.6,1529,Michigan,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,1.1,1529,Michigan,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Robert F. Kennedy,0.7,1529,Michigan,Online Ad,IND,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,0.2,1529,Michigan,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Cornel West,0.1,1529,Michigan,Online Ad,IND,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,47.3,1529,Michigan,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,50.2,1529,Michigan,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,48.1,1171,Nevada,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,48.4,1171,Nevada,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,1.7,1171,Nevada,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,0,1171,Nevada,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,48.4,1171,Nevada,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,48.3,1171,Nevada,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,49.5,1674,North Carolina,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,48.8,1674,North Carolina,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,1.1,1674,North Carolina,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,0.1,1674,North Carolina,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Cornel West,0.1,1674,North Carolina,Online Ad,IND,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,50.5,1674,North Carolina,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,48.8,1674,North Carolina,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,46.5,2048,Pennsylvania,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,49.8,2048,Pennsylvania,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,1.9,2048,Pennsylvania,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,0.5,2048,Pennsylvania,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,47.4,2048,Pennsylvania,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,49.9,2048,Pennsylvania,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,48.9,932,Wisconsin,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,48.2,932,Wisconsin,Online Ad,REP,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Chase Oliver,0.8,932,Wisconsin,Online Ad,LIB,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Robert F. Kennedy,0.7,932,Wisconsin,Online Ad,IND,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Jill Stein,0.2,932,Wisconsin,Online Ad,GRE,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Kamala Harris,49,932,Wisconsin,Online Ad,DEM,2024-11-05
AtlasIntel,2024-10-12,2024-10-17,Donald Trump,48.4,932,Wisconsin,Online Ad,REP,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Kamala Harris,53,600,Michigan,Online Panel,DEM,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Donald Trump,45,600,Michigan,Online Panel,REP,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Kamala Harris,51,600,Michigan,Online Panel,DEM,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Donald Trump,43,600,Michigan,Online Panel,REP,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Kamala Harris,49,600,Pennsylvania,Online Panel,DEM,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Donald Trump,49,600,Pennsylvania,Online Panel,REP,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Kamala Harris,49,600,Pennsylvania,Online Panel,DEM,2024-11-05
Bullfinch,2024-10-11,2024-10-17,Donald Trump,48,600,Pennsylvania,Online Panel,REP,2024-11-05
ActiVote,2024-10-09,2024-10-17,Kamala Harris,48.9,1000,National,App Panel,DEM,2024-11-05
ActiVote,2024-10-09,2024-10-17,Donald Trump,51.1,1000,National,App Panel,REP,2024-11-05
ActiVote,2024-10-01,2024-10-17,Kamala Harris,49.3,400,Georgia,App Panel,DEM,2024-11-05
ActiVote,2024-10-01,2024-10-17,Donald Trump,50.7,400,Georgia,App Panel,REP,2024-11-05
ActiVote,2024-09-09,2024-10-17,Kamala Harris,41.6,400,South Carolina,App Panel,DEM,2024-11-05
ActiVote,2024-09-09,2024-10-17,Donald Trump,58.4,400,South Carolina,App Panel,REP,2024-11-05
TIPP,2024-10-14,2024-10-16,Kamala Harris,49,1228,National,Online Panel,DEM,2024-11-05
TIPP,2024-10-14,2024-10-16,Donald Trump,46,1228,National,Online Panel,REP,2024-11-05
Emerson,2024-10-14,2024-10-16,Kamala Harris,49.5,1000,National,IVR/Online Panel/Text-to-Web,DEM,2024-11-05
Emerson,2024-10-14,2024-10-16,Donald Trump,49.2,1000,National,IVR/Online Panel/Text-to-Web,REP,2024-11-05
OnMessage Inc.,2024-10-14,2024-10-16,Kamala Harris,45,800,National,Online Panel,DEM,2024-11-05
OnMessage Inc.,2024-10-14,2024-10-16,Donald Trump,46,800,National,Online Panel,REP,2024-11-05
RMG Research,2024-10-14,2024-10-16,Kamala Harris,50,2950,National,Online Panel,DEM,2024-11-05
RMG Research,2024-10-14,2024-10-16,Donald Trump,49,2950,National,Online Panel,REP,2024-11-05
TIPP,2024-10-14,2024-10-16,Kamala Harris,48.8,1029,Georgia,Online Panel,DEM,2024-11-05
TIPP,2024-10-14,2024-10-16,Donald Trump,45.8,1029,Georgia,Online Panel,REP,2024-11-05
TIPP,2024-10-14,2024-10-16,Kamala Harris,48.3,813,Georgia,Online Panel,DEM,2024-11-05
TIPP,2024-10-14,2024-10-16,Donald Trump,48.5,813,Georgia,Online Panel,REP,2024-11-05
TIPP,2024-10-14,2024-10-16,Kamala Harris,48.3,1029,Georgia,Online Panel,DEM,2024-11-05
TIPP,2024-10-14,2024-10-16,Donald Trump,44.8,1029,Georgia,Online Panel,REP,2024-11-05
TIPP,2024-10-14,2024-10-16,Cornel West,1,1029,Georgia,Online Panel,IND,2024-11-05
TIPP,2024-10-14,2024-10-16,Jill Stein,1,1029,Georgia,Online Panel,GRE,2024-11-05
TIPP,2024-10-14,2024-10-16,Kamala Harris,49,813,Georgia,Online Panel,DEM,2024-11-05
TIPP,2024-10-14,2024-10-16,Donald Trump,48.5,813,Georgia,Online Panel,REP,2024-11-05
TIPP,2024-10-14,2024-10-16,Cornel West,0.5,813,Georgia,Online Panel,IND,2024-11-05
TIPP,2024-10-14,2024-10-16,Jill Stein,0.8,813,Georgia,Online Panel,GRE,2024-11-05
YouGov,2024-10-11,2024-10-16,Kamala Harris,48,1435,Arizona,Online Panel,DEM,2024-11-05
YouGov,2024-10-11,2024-10-16,Donald Trump,51,1435,Arizona,Online Panel,REP,2024-11-05
RMG Research,2024-10-10,2024-10-16,Kamala Harris,49,787,Wisconsin,Online Panel,DEM,2024-11-05
RMG Research,2024-10-10,2024-10-16,Donald Trump,50,787,Wisconsin,Online Panel,REP,2024-11-05
RMG Research,2024-10-10,2024-10-16,Kamala Harris,49,789,Michigan,Online Panel,DEM,2024-11-05
RMG Research,2024-10-10,2024-10-16,Donald Trump,49,789,Michigan,Online Panel,REP,2024-11-05
Gateway Political Strategies,2024-09-27,2024-10-16,Kamala Harris,53,2540,National,Online Panel,DEM,2024-11-05
Gateway Political Strategies,2024-09-27,2024-10-16,Donald Trump,47,2540,National,Online Panel,REP,2024-11-05
ActiVote,2024-09-26,2024-10-16,Kamala Harris,44.2,400,Texas,App Panel,DEM,2024-11-05
ActiVote,2024-09-26,2024-10-16,Donald Trump,55.8,400,Texas,App Panel,REP,2024-11-05
ActiVote,2024-09-24,2024-10-16,Kamala Harris,37.6,400,Tennessee,App Panel,DEM,2024-11-05
ActiVote,2024-09-24,2024-10-16,Donald Trump,62.4,400,Tennessee,App Panel,REP,2024-11-05
ActiVote,2024-09-06,2024-10-16,Kamala Harris,66.6,400,Massachusetts,App Panel,DEM,2024-11-05
ActiVote,2024-09-06,2024-10-16,Donald Trump,33.4,400,Massachusetts,App Panel,REP,2024-11-05
InsiderAdvantage,2024-10-14,2024-10-15,Kamala Harris,47,800,Georgia,NA,DEM,2024-11-05
InsiderAdvantage,2024-10-14,2024-10-15,Donald Trump,49,800,Georgia,NA,REP,2024-11-05
TIPP,2024-10-13,2024-10-15,Kamala Harris,50,1248,National,Online Panel,DEM,2024-11-05
TIPP,2024-10-13,2024-10-15,Donald Trump,46,1248,National,Online Panel,REP,2024-11-05
YouGov,2024-10-12,2024-10-15,Kamala Harris,48,1457,National,Online Panel,DEM,2024-11-05
YouGov,2024-10-12,2024-10-15,Donald Trump,45,1457,National,Online Panel,REP,2024-11-05
YouGov,2024-10-12,2024-10-15,Jill Stein,1,1457,National,Online Panel,GRE,2024-11-05
YouGov,2024-10-12,2024-10-15,Cornel West,1,1457,National,Online Panel,IND,2024-11-05
YouGov,2024-10-12,2024-10-15,Kamala Harris,49,1314,National,Online Panel,DEM,2024-11-05
YouGov,2024-10-12,2024-10-15,Donald Trump,45,1314,National,Online Panel,REP,2024-11-05
YouGov,2024-10-12,2024-10-15,Jill Stein,1,1314,National,Online Panel,GRE,2024-11-05
YouGov,2024-10-12,2024-10-15,Cornel West,0,1314,National,Online Panel,IND,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,49,653,Arizona,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,48,653,Arizona,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,48,1002,Georgia,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,49,1002,Georgia,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,64,490,Maryland,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,31,490,Maryland,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,49,1065,Michigan,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,47,1065,Michigan,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,49,496,Nevada,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,45,496,Nevada,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,48,1072,North Carolina,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,49,1072,North Carolina,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,45,1243,Ohio,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,52,1243,Ohio,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,49,1395,Pennsylvania,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,48,1395,Pennsylvania,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,46,2048,Texas,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,50,2048,Texas,Online Panel,REP,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Kamala Harris,47,527,Wisconsin,Online Panel,DEM,2024-11-05
Morning Consult,2024-10-06,2024-10-15,Donald Trump,48,527,Wisconsin,Online Panel,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,44,580,Arizona,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,50,580,Arizona,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,46,580,Arizona,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,49,580,Arizona,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,50,730,Georgia,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,44,730,Georgia,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,51,730,Georgia,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,47,730,Georgia,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,46,687,Michigan,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,47,687,Michigan,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,49,687,Michigan,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,47,687,Michigan,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,47,652,Nevada,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,44,652,Nevada,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,48,652,Nevada,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,48,652,Nevada,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,45,965,North Carolina,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,49,965,North Carolina,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,47,965,North Carolina,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,50,965,North Carolina,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,49,707,Pennsylvania,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,46,707,Pennsylvania,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,49,707,Pennsylvania,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,47,707,Pennsylvania,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,50,695,Wisconsin,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Donald Trump,46,695,Wisconsin,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,2024-11-05
Washington Post/George Mason University,2024-09-30,2024-10-15,Kamala Harris,50,695,Wisconsin,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,2024-11-05
