candidate_name,pct,sample_size,state,start_date,end_date,methodology,party,candidate_win
Donald Trump,48,527,Wisconsin,2024-10-06,2024-10-15,Online Panel,REP,0
Kamala Harris,44,580,Arizona,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Kamala Harris,46,580,Arizona,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Kamala Harris,50,730,Georgia,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Donald Trump,44,730,Georgia,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,0
Kamala Harris,51,730,Georgia,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Donald Trump,47,730,Georgia,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,0
Kamala Harris,46,687,Michigan,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Donald Trump,47,687,Michigan,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,0
Kamala Harris,48,652,Nevada,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Donald Trump,48,652,Nevada,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,0
Kamala Harris,45,965,North Carolina,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Kamala Harris,47,965,North Carolina,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Donald Trump,46,707,Pennsylvania,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,0
Donald Trump,47,707,Pennsylvania,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,0
Kamala Harris,50,695,Wisconsin,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Donald Trump,46,695,Wisconsin,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,REP,0
Kamala Harris,50,695,Wisconsin,2024-09-30,2024-10-15,Live Phone/Text-to-Web/Email/Mail-to-Web,DEM,0
Kamala Harris,49,1198,National,2024-10-12,2024-10-14,Online Panel,DEM,0
Donald Trump,46,1198,National,2024-10-12,2024-10-14,Online Panel,REP,0
Kamala Harris,49,803,Wisconsin,2024-10-12,2024-10-14,IVR,DEM,0
Donald Trump,50,803,Wisconsin,2024-10-12,2024-10-14,IVR,REP,0
Donald Trump,36.6,1000,California,2024-10-12,2024-10-14,IVR/Online Panel,REP,0
Kamala Harris,46,620,North Carolina,2024-10-12,2024-10-14,Online Panel,DEM,0
Donald Trump,48,620,North Carolina,2024-10-12,2024-10-14,Online Panel,REP,0
Kamala Harris,46,1141,Arizona,2024-10-12,2024-10-14,Online Panel,DEM,0
Donald Trump,48,1141,Arizona,2024-10-12,2024-10-14,Online Panel,REP,0
Kamala Harris,44,1009,Florida,2024-10-12,2024-10-14,Online Panel,DEM,0
Donald Trump,50,1009,Florida,2024-10-12,2024-10-14,Online Panel,REP,0
Donald Trump,47,682,Michigan,2024-10-12,2024-10-14,Online Panel,REP,0
Kamala Harris,47,838,Nevada,2024-10-12,2024-10-14,Online Panel,DEM,0
Donald Trump,47,838,Nevada,2024-10-12,2024-10-14,Online Panel,REP,0
Donald Trump,45,382,New Mexico,2024-10-12,2024-10-14,Online Panel,REP,0
Kamala Harris,48,1649,Pennsylvania,2024-10-12,2024-10-14,Online Panel,DEM,0
Donald Trump,48,1649,Pennsylvania,2024-10-12,2024-10-14,Online Panel,REP,0
Kamala Harris,48,641,Wisconsin,2024-10-12,2024-10-14,Online Panel,DEM,0
Kamala Harris,48,1110,National,2024-10-11,2024-10-14,Live Phone/Text-to-Web,DEM,0
Kamala Harris,48,870,National,2024-10-11,2024-10-14,Live Phone/Text-to-Web,DEM,0
Donald Trump,50,870,National,2024-10-11,2024-10-14,Live Phone/Text-to-Web,REP,0
Kamala Harris,45,1328,Georgia,2024-10-10,2024-10-14,Live Phone,DEM,0
Donald Trump,52,1328,Georgia,2024-10-10,2024-10-14,Live Phone,REP,0
Kamala Harris,49,1031,North Carolina,2024-10-10,2024-10-14,Live Phone,DEM,0
Donald Trump,47,1031,North Carolina,2024-10-10,2024-10-14,Live Phone,REP,0
Kamala Harris,50,1031,North Carolina,2024-10-10,2024-10-14,Live Phone,DEM,0
Donald Trump,47,1031,North Carolina,2024-10-10,2024-10-14,Live Phone,REP,0
Kamala Harris,57,703,Washington,2024-10-09,2024-10-14,Online Panel,DEM,0
Kamala Harris,45.8,701,Georgia,2024-10-09,2024-10-14,IVR/Text-to-Web,DEM,0
Kamala Harris,50,806,National,2024-10-08,2024-10-14,Live Phone/Text-to-Web,DEM,0
Donald Trump,47,806,National,2024-10-08,2024-10-14,Live Phone/Text-to-Web,REP,0
Kamala Harris,62.9,400,Maryland,2024-09-08,2024-10-14,App Panel,DEM,0
Donald Trump,37.1,400,Maryland,2024-09-08,2024-10-14,App Panel,REP,0
Donald Trump,46,1212,National,2024-10-11,2024-10-13,Online Panel,REP,0
Kamala Harris,49,2596,National,2024-10-11,2024-10-13,Online Panel,DEM,0
Donald Trump,48,2596,National,2024-10-11,2024-10-13,Online Panel,REP,0
Kamala Harris,51,2596,National,2024-10-11,2024-10-13,Online Panel,DEM,0
Donald Trump,49,2596,National,2024-10-11,2024-10-13,Online Panel,REP,0
Donald Trump,48,3145,National,2024-10-11,2024-10-13,Online Panel,REP,0
Kamala Harris,50,8647,National,2024-10-11,2024-10-13,Online Panel,DEM,0
Donald Trump,46,8647,National,2024-10-11,2024-10-13,Online Panel,REP,0
Kamala Harris,49,692,Michigan,2024-10-11,2024-10-13,Online Panel,DEM,0
Donald Trump,42,807,National,2024-10-11,2024-10-13,Probability Panel,REP,0
Kamala Harris,47,769,National,2024-10-11,2024-10-13,Probability Panel,DEM,0
Donald Trump,44,769,National,2024-10-11,2024-10-13,Probability Panel,REP,0
Kamala Harris,41,938,National,2024-10-11,2024-10-13,Probability Panel,DEM,0
Donald Trump,37,938,National,2024-10-11,2024-10-13,Probability Panel,REP,0
Kamala Harris,46,1090,Arizona,2024-10-10,2024-10-13,IVR/Live Phone/Text/Online Panel/Email,DEM,0
Kamala Harris,44.6,1085,North Carolina,2024-10-10,2024-10-13,IVR/Live Phone/Text/Online Panel/Email,DEM,0
Donald Trump,46.5,1085,North Carolina,2024-10-10,2024-10-13,IVR/Live Phone/Text/Online Panel/Email,REP,0
Kamala Harris,45.6,1088,Nevada,2024-10-10,2024-10-13,IVR/Live Phone/Text/Online Panel/Email,DEM,0
Donald Trump,44.8,1088,Nevada,2024-10-10,2024-10-13,IVR/Live Phone/Text/Online Panel/Email,REP,0
Kamala Harris,60,400,Washington,2024-09-07,2024-10-13,App Panel,DEM,0
Donald Trump,40,400,Washington,2024-09-07,2024-10-13,App Panel,REP,0
Kamala Harris,50,8901,National,2024-10-10,2024-10-12,Online Panel,DEM,0
Donald Trump,46,8901,National,2024-10-10,2024-10-12,Online Panel,REP,0
Kamala Harris,57,401,Washington,2024-10-08,2024-10-12,Live Phone/Text-to-Web,DEM,0
Donald Trump,32,401,Washington,2024-10-08,2024-10-12,Live Phone/Text-to-Web,REP,0
Kamala Harris,51,2010,National,2024-10-09,2024-10-11,Online Panel,DEM,0
Kamala Harris,51,1692,National,2024-10-09,2024-10-11,Online Panel,DEM,0
Donald Trump,49,1692,National,2024-10-09,2024-10-11,Online Panel,REP,0
Kamala Harris,51,1622,National,2024-10-09,2024-10-11,Online Panel,DEM,0
Donald Trump,49,1622,National,2024-10-09,2024-10-11,Online Panel,REP,0
Kamala Harris,49,2010,National,2024-10-09,2024-10-11,Online Panel,DEM,0
Donald Trump,46,2010,National,2024-10-09,2024-10-11,Online Panel,REP,0
Kamala Harris,49,1692,National,2024-10-09,2024-10-11,Online Panel,DEM,0
Kamala Harris,49,1622,National,2024-10-09,2024-10-11,Online Panel,DEM,0
Donald Trump,49,1622,National,2024-10-09,2024-10-11,Online Panel,REP,0
Kamala Harris,51,2712,National,2024-10-08,2024-10-11,Online Panel,DEM,0
Kamala Harris,44.9,600,Michigan,2024-10-07,2024-10-11,Live Phone,DEM,0
Donald Trump,44,600,Michigan,2024-10-07,2024-10-11,Live Phone,REP,0
Donald Trump,46,9556,National,2024-10-08,2024-10-10,Online Panel,REP,0
Donald Trump,47,1401,National,2024-10-08,2024-10-10,Online Panel/Text-to-Web,REP,0
Kamala Harris,51,1708,National,2024-10-08,2024-10-10,Online Panel/Text-to-Web,DEM,0
Donald Trump,48,1708,National,2024-10-08,2024-10-10,Online Panel/Text-to-Web,REP,0
Donald Trump,47,2945,National,2024-10-07,2024-10-10,Online Panel,REP,0
Kamala Harris,50,857,Pennsylvania,2024-10-07,2024-10-10,Live Phone,DEM,0
Donald Trump,45,857,Pennsylvania,2024-10-07,2024-10-10,Live Phone,REP,0
Kamala Harris,50,857,Pennsylvania,2024-10-07,2024-10-10,Live Phone,DEM,0
Donald Trump,47,857,Pennsylvania,2024-10-07,2024-10-10,Live Phone,REP,0
Kamala Harris,49,857,Pennsylvania,2024-10-07,2024-10-10,Live Phone,DEM,0
Donald Trump,45,857,Pennsylvania,2024-10-07,2024-10-10,Live Phone,REP,0
Kamala Harris,46,808,Arizona,2024-10-07,2024-10-10,Live Phone,DEM,0
Donald Trump,51,808,Arizona,2024-10-07,2024-10-10,Live Phone,REP,0
Donald Trump,50,808,Arizona,2024-10-07,2024-10-10,Live Phone,REP,0
Kamala Harris,45,808,Arizona,2024-10-07,2024-10-10,Live Phone,DEM,0
Donald Trump,51,808,Arizona,2024-10-07,2024-10-10,Live Phone,REP,0
Kamala Harris,44,808,Arizona,2024-10-07,2024-10-10,Live Phone,DEM,0
Kamala Harris,47,731,Georgia,2024-10-07,2024-10-10,Online Panel,DEM,0
Donald Trump,50,731,Georgia,2024-10-07,2024-10-10,Online Panel,REP,0
Kamala Harris,56,700,Massachusetts,2024-10-03,2024-10-10,Online Panel,DEM,0
Donald Trump,49,1193,Pennsylvania,2024-10-02,2024-10-10,IVR/Live Phone/Text-to-Web,REP,0
Donald Trump,50.5,1193,Pennsylvania,2024-10-02,2024-10-10,IVR/Live Phone/Text-to-Web,REP,0
Kamala Harris,50,600,New Hampshire,2024-10-02,2024-10-10,Online Panel,DEM,0
Donald Trump,41,600,New Hampshire,2024-10-02,2024-10-10,Online Panel,REP,0
Kamala Harris,46,1091,Texas,2024-10-02,2024-10-10,Online Panel,DEM,0
Donald Trump,51,1091,Texas,2024-10-02,2024-10-10,Online Panel,REP,0
Kamala Harris,50,780,National,2024-10-01,2024-10-10,Probability Panel,DEM,0
Donald Trump,50,780,National,2024-10-01,2024-10-10,Probability Panel,REP,0
Kamala Harris,43,780,National,2024-10-01,2024-10-10,Probability Panel,DEM,0
Kamala Harris,50,652,National,2024-10-01,2024-10-10,Probability Panel,DEM,0
Donald Trump,50,652,National,2024-10-01,2024-10-10,Probability Panel,REP,0
Kamala Harris,44,652,National,2024-10-01,2024-10-10,Probability Panel,DEM,0
Donald Trump,41,652,National,2024-10-01,2024-10-10,Probability Panel,REP,0
Kamala Harris,46,1329,Texas,2024-09-26,2024-10-10,Online Panel,DEM,0
Donald Trump,51,1329,Texas,2024-09-26,2024-10-10,Online Panel,REP,0
Kamala Harris,63.5,400,California,2024-09-22,2024-10-10,App Panel,DEM,0
Kamala Harris,42.8,400,Missouri,2024-09-08,2024-10-10,App Panel,DEM,0
Kamala Harris,46,800,Michigan,2024-10-08,2024-10-09,Text,DEM,0
Donald Trump,48,800,Michigan,2024-10-08,2024-10-09,Text,REP,0
Kamala Harris,48,800,Wisconsin,2024-10-08,2024-10-09,Text,DEM,0
Donald Trump,48,800,Wisconsin,2024-10-08,2024-10-09,Text,REP,0
Kamala Harris,46,707,Pennsylvania,2024-10-08,2024-10-09,Online Panel,DEM,0
Donald Trump,48,707,Pennsylvania,2024-10-08,2024-10-09,Online Panel,REP,0
Donald Trump,50,1254,Alaska,2024-10-08,2024-10-09,Text-to-Web,REP,0
Kamala Harris,46,1254,Alaska,2024-10-08,2024-10-09,Text-to-Web,DEM,0
Donald Trump,54,1254,Alaska,2024-10-08,2024-10-09,Text-to-Web,REP,0
Kamala Harris,49.2,1079,Pennsylvania,2024-10-07,2024-10-09,Online Panel,DEM,0
Donald Trump,45.3,1079,Pennsylvania,2024-10-07,2024-10-09,Online Panel,REP,0
Donald Trump,44.9,1079,Pennsylvania,2024-10-07,2024-10-09,Online Panel,REP,0
Kamala Harris,48.3,803,Pennsylvania,2024-10-07,2024-10-09,Online Panel,DEM,0
Donald Trump,49,803,Pennsylvania,2024-10-07,2024-10-09,Online Panel,REP,0
Donald Trump,46,10188,National,2024-10-07,2024-10-09,Online Panel,REP,0
Kamala Harris,46,800,Arizona,2024-10-06,2024-10-09,Live Phone/Text-to-Web,DEM,0
Kamala Harris,48,800,Michigan,2024-10-06,2024-10-09,Live Phone/Text-to-Web,DEM,0
Kamala Harris,47,800,Nevada,2024-10-06,2024-10-09,Live Phone/Text-to-Web,DEM,0
Donald Trump,50,800,Nevada,2024-10-06,2024-10-09,Live Phone/Text-to-Web,REP,0
Donald Trump,48,800,North Carolina,2024-10-06,2024-10-09,Live Phone/Text-to-Web,REP,0
Kamala Harris,48,800,Pennsylvania,2024-10-06,2024-10-09,Live Phone/Text-to-Web,DEM,0
Donald Trump,49,800,Pennsylvania,2024-10-06,2024-10-09,Live Phone/Text-to-Web,REP,0
Kamala Harris,48,800,Wisconsin,2024-10-06,2024-10-09,Live Phone/Text-to-Web,DEM,0
Donald Trump,49,800,Wisconsin,2024-10-06,2024-10-09,Live Phone/Text-to-Web,REP,0
Kamala Harris,46,800,Pennsylvania,2024-10-02,2024-10-09,Online Panel,DEM,0
Donald Trump,45,800,Pennsylvania,2024-10-02,2024-10-09,Online Panel,REP,0
Kamala Harris,51.2,400,Michigan,2024-09-15,2024-10-09,App Panel,DEM,0
Donald Trump,48.8,400,Michigan,2024-09-15,2024-10-09,App Panel,REP,0
Kamala Harris,52.9,400,Minnesota,2024-09-10,2024-10-09,App Panel,DEM,0
Donald Trump,47.1,400,Minnesota,2024-09-10,2024-10-09,App Panel,REP,0
Kamala Harris,47,800,Pennsylvania,2024-10-07,2024-10-08,Text,DEM,0
Kamala Harris,46.9,5500,National,2024-10-07,2024-10-08,Online Panel,DEM,0
Donald Trump,47,2180,National,2024-10-06,2024-10-08,IVR/Text,REP,0
Kamala Harris,50,10812,National,2024-10-06,2024-10-08,Online Panel,DEM,0
Donald Trump,46,10812,National,2024-10-06,2024-10-08,Online Panel,REP,0
Kamala Harris,48.2,1000,Arizona,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,50.5,1000,Arizona,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,REP,0
Donald Trump,49.6,950,Michigan,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,49.2,900,Nevada,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,DEM,0
Kamala Harris,49,1000,North Carolina,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,49.9,1000,North Carolina,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,49,1000,Pennsylvania,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,DEM,0
Donald Trump,49.9,1000,Wisconsin,2024-10-05,2024-10-08,IVR/Online Panel/Text-to-Web,REP,0
Kamala Harris,39,656,Montana,2024-10-05,2024-10-08,Live Phone,DEM,0
Donald Trump,57,656,Montana,2024-10-05,2024-10-08,Live Phone,REP,0
Kamala Harris,38,656,Montana,2024-10-05,2024-10-08,Live Phone,DEM,0
Donald Trump,56,656,Montana,2024-10-05,2024-10-08,Live Phone,REP,0
Kamala Harris,40,656,Montana,2024-10-05,2024-10-08,Live Phone,DEM,0
Donald Trump,57,656,Montana,2024-10-05,2024-10-08,Live Phone,REP,0
Kamala Harris,39,656,Montana,2024-10-05,2024-10-08,Live Phone,DEM,0
Donald Trump,56,656,Montana,2024-10-05,2024-10-08,Live Phone,REP,0
Kamala Harris,37,600,Nebraska,2024-10-05,2024-10-08,Live Phone/Text-to-Web,DEM,0
Donald Trump,57,600,Nebraska,2024-10-05,2024-10-08,Live Phone/Text-to-Web,REP,0
Kamala Harris,47,800,Pennsylvania,2024-10-05,2024-10-08,Live Phone/Online Panel/Text-to-Web,DEM,0
Donald Trump,47,800,Pennsylvania,2024-10-05,2024-10-08,Live Phone/Online Panel/Text-to-Web,REP,0
Kamala Harris,46,1000,National,2024-10-04,2024-10-08,Live Phone,DEM,0
Donald Trump,47,1000,National,2024-10-04,2024-10-08,Live Phone,REP,0
Kamala Harris,48,1000,National,2024-10-04,2024-10-08,Live Phone,DEM,0
Kamala Harris,49,2631,National,2024-10-04,2024-10-08,Probability Panel,DEM,0
Donald Trump,48,2631,National,2024-10-04,2024-10-08,Probability Panel,REP,0
Donald Trump,47,2226,National,2024-10-04,2024-10-08,Probability Panel,REP,0
Kamala Harris,50,1714,National,2024-10-04,2024-10-08,Probability Panel,DEM,0
Donald Trump,48,1714,National,2024-10-04,2024-10-08,Probability Panel,REP,0
Kamala Harris,50,2631,National,2024-10-04,2024-10-08,Probability Panel,DEM,0
Donald Trump,49,2631,National,2024-10-04,2024-10-08,Probability Panel,REP,0
Donald Trump,49,2226,National,2024-10-04,2024-10-08,Probability Panel,REP,0
Kamala Harris,51,1714,National,2024-10-04,2024-10-08,Probability Panel,DEM,0
Donald Trump,48,1714,National,2024-10-04,2024-10-08,Probability Panel,REP,0
Kamala Harris,49.4,1000,National,2024-10-03,2024-10-08,App Panel,DEM,0
Donald Trump,58,895,Nebraska,2024-10-03,2024-10-08,Text-to-Web/Online Ad,REP,0
Kamala Harris,46,600,Michigan,2024-10-02,2024-10-08,Live Phone/Text-to-Web,DEM,0
Donald Trump,46,600,Michigan,2024-10-02,2024-10-08,Live Phone/Text-to-Web,REP,0
Kamala Harris,48,600,Michigan,2024-10-02,2024-10-08,Live Phone/Text-to-Web,DEM,0
Donald Trump,49,600,Michigan,2024-10-02,2024-10-08,Live Phone/Text-to-Web,REP,0
Donald Trump,50.7,400,Arizona,2024-09-06,2024-10-08,App Panel,REP,0
Kamala Harris,47,1414,National,2024-10-06,2024-10-07,Online Panel,DEM,0
Donald Trump,45,1230,National,2024-10-06,2024-10-07,Online Panel,REP,0
